Môn 1,Môn 2,Môn 3,Tổ hợp
Toán,Lí,Hóa,A00
Toán,Lí,Anh,A01
Toán,Lí,Sinh,A02
Toán,Lí,Sử,A03
Toán,Lí,Địa,A04
Toán,Hóa,Sử,A05
Toán,Hóa,Địa,A06
Toán,Sử,Địa,A07
Toán,Sử,Giáo dục kinh tế và pháp luật,A08
Toán,Địa,Giáo dục kinh tế và pháp luật,A09
Toán,Lí,Giáo dục kinh tế và pháp luật,A10
Toán,Hóa,Giáo dục kinh tế và pháp luật,A11
Toán,Địa,Hàn,AH1
Toán,Hóa,Hàn,AH2
Toán,Lí,Hàn,AH3
Toán,Sinh,Hàn,AH4
Toán,Hóa,Sinh,B00
Toán,Sinh,Sử,B01
Toán,Sinh,Địa,B02
Toán,Sinh,Văn,B03
Toán,Sinh,Giáo dục kinh tế và pháp luật,B04
Toán,Sinh,Anh,B06
Toán,Hóa,Anh,B07
Toán,Sinh,Anh,B08
Văn,Sử,Địa,C00
Văn,Toán,Lí,C01
Văn,Toán,Hóa,C02
Văn,Toán,Sử,C03
Văn,Toán,Địa,C04
Văn,Lí,Hóa,C05
Văn,Lí,Sinh,C06
Văn,Lí,Sử,C07
Văn,Hóa,Sinh,C08
Văn,Lí,Địa,C09
Văn,Hóa,Sử,C10
Văn,Địa,Hóa,C11
Văn,Sinh,Sử,C12
Văn,Sinh,Địa,C13
Văn,Toán,Giáo dục kinh tế và pháp luật,C14
Văn,Lí,Giáo dục kinh tế và pháp luật,C16
Văn,Hóa,Giáo dục kinh tế và pháp luật,C17
Văn,Sử,Giáo dục kinh tế và pháp luật,C19
Văn,Địa,Giáo dục kinh tế và pháp luật,C20
Toán,Văn,Anh,D01
Văn,Toán,Nga,D02
Văn,Toán,Pháp,D03
Văn,Toán,Trung,D04
Văn,Toán,Đức,D05
Văn,Toán,Nhật,D06
Toán,Hóa,Anh,D07
Toán,Sinh,Anh,D08
Toán,Sử,Anh,D09
Toán,Địa,Anh,D10
Văn,Lí,Anh,D11
Văn,Hóa,Anh,D12
Văn,Sinh,Anh,D13
Văn,Sử,Anh,D14
Văn,Địa,Anh,D15
Toán,Địa,Đức,D16
Toán,Địa,Nga,D17
Toán,Địa,Nhật,D18
Toán,Địa,Pháp,D19
Toán,Địa,Trung,D20
Toán,Hóa,Đức,D21
Toán,Hóa,Nga,D22
Toán,Hóa,Nhật,D23
Toán,Hóa,Pháp,D24
Toán,Hóa,Trung,D25
Toán,Lí,Đức,D26
Toán,Lí,Nga,D27
Toán,Lí,Nhật,D28
Toán,Lí,Pháp,D29
Toán,Lí,Trung,D30
Toán,Sinh,Đức,D31
Toán,Sinh,Nga,D32
Toán,Sinh,Nhật,D33
Toán,Sinh,Pháp,D34
Toán,Sinh,Trung,D35
Toán,Địa,Đức,D41
Văn,Địa,Nga,D42
Văn,Địa,Nhật,D43
Văn,Địa,Pháp,D44
Văn,Địa,Trung,D45
Văn,Lí,Nga,D52
Văn,Lí,Pháp,D54
Văn,Lí,Trung,D55
Văn,Sử,Đức,D61
Văn,Sử,Nga,D62
Văn,Sử,Nhật,D63
Văn,Sử,Pháp,D64
Văn,Sử,Trung,D65
Văn,Giáo dục kinh tế và pháp luật,Anh,D66
Văn,Giáo dục kinh tế và pháp luật,Nga,D68
Văn,Giáo dục kinh tế và pháp luật,Đức,D69
Văn,Giáo dục kinh tế và pháp luật,Pháp,D70
Văn,Giáo dục kinh tế và pháp luật,Trung,D71
Toán,Giáo dục kinh tế và pháp luật,Anh,D84
Toán,Giáo dục kinh tế và pháp luật,Đức,D85
Toán,Giáo dục kinh tế và pháp luật,Nga,D86
Toán,Giáo dục kinh tế và pháp luật,Nhật,D87
Toán,Giáo dục kinh tế và pháp luật,Pháp,D88
Toán,Giáo dục kinh tế và pháp luật,Trung,D89
Toán,Anh,Tin,K01
Toán,Lí,Tin,TH1
Toán,Văn,Tin,TH3
Toán,Hóa,Tin,TH4
Toán,Hóa,Công nghệ công nghiệp,TH5
Toán,Hóa,Công nghệ nông nghiệp,TH5
Toán,Văn,Tin,TH6
Toán,Anh,Công nghệ công nghiệp,TH7a
Toán,Anh,Công nghệ nông nghiệp,TH7b
Toán,Văn,Công nghệ công nghiệp,TH8a
Toán,Văn,Công nghệ nông nghiệp,TH8b
Văn,Anh,Tin,TH9
Văn,Sử,Tin,TH11
Văn,Toán,Giáo dục kinh tế và pháp luật,X01
Toán,Văn,Tin,X02
Toán,Văn,Công nghệ công nghiệp,X03
Toán,Văn,Công nghệ nông nghiệp,X04
Toán,Lí,Giáo dục kinh tế và pháp luật,X05
Toán,Lí,Tin,X06
Toán,Lí,Công nghệ công nghiệp,X07
Toán,Lí,Công nghệ nông nghiệp,X08
Toán,Hóa,Giáo dục kinh tế và pháp luật,X09
Toán,Hóa,Tin,X10
Toán,Hóa,Công nghệ công nghiệp,X11
Toán,Hóa,Công nghệ nông nghiệp,X12
Toán,Sinh,Giáo dục kinh tế và pháp luật,X13
Toán,Sinh,Tin,X14
Toán,Sinh,Công nghệ công nghiệp,X15
Toán,Sinh,Công nghệ nông nghiệp,X16
Toán,Sử,Giáo dục kinh tế và pháp luật,X17
Toán,Sử,Tin,X18
Toán,Sử,Công nghệ công nghiệp,X19
Toán,Sử,Công nghệ nông nghiệp,X20
Toán,Địa,Giáo dục kinh tế và pháp luật,X21
Toán,Địa,Tin,X22
Toán,Địa,Công nghệ công nghiệp,X23
Toán,Địa,Công nghệ nông nghiệp,X24
Toán,Anh,Giáo dục kinh tế và pháp luật,X25
Toán,Anh,Tin,X26
Toán,Anh,Công nghệ công nghiệp,X27
Toán,Anh,Công nghệ nông nghiệp,X28
Toán,Giáo dục kinh tế và pháp luật,Nga,X29
Toán,Giáo dục kinh tế và pháp luật,Pháp,X33
Toán,Giáo dục kinh tế và pháp luật,Nhật,X45
Toán,Nhật,Tin,X46
Toán,Giáo dục kinh tế và pháp luật,Tin,X53
Toán,Giáo dục kinh tế và pháp luật,Công nghệ công nghiệp,X54
Toán,Giáo dục kinh tế và pháp luật,Công nghệ nông nghiệp,X55
Toán,Tin,Công nghệ công nghiệp,X56
Toán,Tin,Công nghệ nông nghiệp,X57
Văn,Lí,Giáo dục kinh tế và pháp luật,X58
Văn,Lí,Tin,X59
Văn,Lí,Công nghệ nông nghiệp,X60
Văn,Lí,Công nghệ nông nghiệp,X61
Văn,Hóa,Giáo dục kinh tế và pháp luật,X62
Văn,Hóa,Tin,X63
Văn,Hóa,Công nghệ công nghiệp,X64
Văn,Hóa,Công nghệ nông nghiệp,X65
Văn,Sinh,Giáo dục kinh tế và pháp luật,X66
Văn,Sinh,Tin,X67
Văn,Sinh,Công nghệ công nghiệp,X68
Văn,Sinh,Công nghệ nông nghiệp,X69
Văn,Sử,Giáo dục kinh tế và pháp luật,X70
Văn,Sử,Tin,X71
Văn,Sử,Công nghệ công nghiệp,X72
Văn,Sử,Công nghệ nông nghiệp,X73
Văn,Địa,Giáo dục kinh tế và pháp luật,X74
Văn,Địa,Tin,X75
Văn,Địa,Công nghệ công nghiệp,X76
Văn,Địa,Công nghệ nông nghiệp,X77
Văn,Anh,Giáo dục kinh tế và pháp luật,X78
Văn,Anh,Tin,X79
Văn,Anh,Công nghệ công nghiệp,X80
Văn,Anh,Công nghệ nông nghiệp,X81
Văn,Giáo dục kinh tế và pháp luật,Pháp,X86
Văn,Giáo dục kinh tế và pháp luật,Trung,X90
Văn,Giáo dục kinh tế và pháp luật,Đức,X94
Văn,Giáo dục kinh tế và pháp luật,Nhật,X98
Văn,Giáo dục kinh tế và pháp luật,Tin,Y07
Văn,Giáo dục kinh tế và pháp luật,Công nghệ công nghiệp,Y08
Văn,Giáo dục kinh tế và pháp luật,Công nghệ nông nghiệp,Y09
