"Dấu thời gian","Bạn hiện đang là học sinh lớp mấy?","Bạn đến từ miền nào? (Bao gồm các khu vực hải đảo tương ứng)","Bạn giỏi những môn nào trong những môn bạn dự tính thi THPTQG?","Bạn không giỏi những môn nào trong những môn bạn dự tính thi THPTQG?","Điểm trung bình trong lớp của bạn như thế nào ở học kỳ gần nhất?","Bạn dự định sẽ thi những tổ hợp nào? 
(Nếu chưa quyết định, em hãy điền tổ hợp mà em đang có xu hướng chọn cao nhất nhé.)","Bạn dự đoán điểm tổ hợp của bạn sẽ trong khoảng nào?","Mục đích bạn thi THPTQG là gì?","Giả sử bạn vừa biết điểm thi tốt nghiệp THPTQG, bạn muốn biết điều gì về kết quả của mình?","Ngoài những mong muốn trên, bạn còn khao khát điều gì khác khi cầm tờ kết quả trên tay? (Ví dụ: Muốn biết mình có thuộc Top 100 của tỉnh không, hay muốn so sánh điểm với bạn bè một cách ẩn danh...)  "
"2026/03/24 7:09:52 CH GMT+7","Lớp 12","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","","","[8.0 - 9.0)","A00","[24 - 27)","Xét tuyển bằng điểm thi THPTQG","Vị thế tương đối;Xác suất ""an toàn""",""
"2026/03/24 10:27:40 CH GMT+7","Lớp 11","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","","","[8.0 - 9.0)","A01","[24 - 27)","Xét tuyển bằng điểm thi THPTQG","Vị thế tương đối;Xác suất ""an toàn"";So sánh tổ hợp","em mong muốn được vỡ oà cảm xúc sau những chặng đường dài mà em đã mỏi mệt trải qua để có được số điểm mong muốnp"
"2026/03/24 10:28:35 CH GMT+7","Lớp 12","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","","","[8.0 - 9.0)","D01 A01","[18 - 21)","Xét tuyển bằng điểm thi THPTQG","Xác suất ""an toàn""","Biết mình đậu hay ki"
"2026/03/25 5:50:08 CH GMT+7","Thí sinh tự do","Miền Trung (bao gồm Bắc Trung Bộ, Duyên hải Nam Trung Bộ, và Tây Nguyên)","","","[9.0 - 10.0]","A00","[27 - 30)","Lấy điểm để đi du học hoặc xét tuyển riêng.","Phân tích phổ điểm","Nụ cười của cha mẹ"
"2026/03/26 11:29:09 SA GMT+7","Cựu học sinh / sinh viên (Đã tốt nghiệp THPT)","Miền Trung (bao gồm Bắc Trung Bộ, Duyên hải Nam Trung Bộ, và Tây Nguyên)","Toán (Đại số / Giải tích);Hóa học","Ngữ văn;Tiếng Anh;Sinh học","[8.0 - 9.0)","A00","[24 - 27)","Xét tuyển bằng điểm thi THPTQG","Phân tích phổ điểm;So sánh tổ hợp",""
"2026/03/26 11:40:45 SA GMT+7","Cựu học sinh / sinh viên (Đã tốt nghiệp THPT)","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Vật lý;Hóa học","Toán (Đại số / Giải tích);Toán (Hình học);Tiếng Anh","[8.0 - 9.0)","A00","[24 - 27)","Xét tuyển bằng điểm thi THPTQG","Vị thế tương đối;Xác suất ""an toàn"";Thứ hạng ước tính;Phân tích phổ điểm",""
"2026/03/26 12:43:13 CH GMT+7","Lớp 10","Miền Bắc (bao gồm Trung du và miền núi Bắc Bộ, và Đồng bằng sông Hồng)","Hóa học;Sinh học","Toán (Đại số / Giải tích);Toán (Hình học);Ngữ văn;Tiếng Anh;Vật lý;Lịch sử;Địa lý;GDKT&PL (Hoặc GDCD);Tin học;Công nghệ công nghiệp;Công nghệ nông nghiệp","[8.0 - 9.0)","A00","[27 - 30)","Khác","Thứ hạng ước tính;Phân tích phổ điểm","Muốn biết có đứng top 10 toàn quốc không?"
"2026/03/26 1:59:22 CH GMT+7","Cựu học sinh / sinh viên (Đã tốt nghiệp THPT)","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","","Toán (Đại số / Giải tích);Toán (Hình học);Ngữ văn;Tiếng Anh;Vật lý","[6.0 - 7.0)","A01,C01","[18 - 21)","Xét tuyển bằng điểm thi THPTQG","Xác suất ""an toàn""",""
"2026/03/26 7:19:06 CH GMT+7","Cựu học sinh / sinh viên (Đã tốt nghiệp THPT)","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Toán (Đại số / Giải tích);Vật lý;Tin học","Tiếng Anh","[8.0 - 9.0)","A00","[24 - 27)","Xét tuyển bằng điểm thi THPTQG","Xác suất ""an toàn""","Có "
"2026/03/26 7:33:47 CH GMT+7","Cựu học sinh / sinh viên (Đã tốt nghiệp THPT)","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Toán (Đại số / Giải tích);Toán (Hình học);Ngữ văn;Tiếng Anh;Vật lý;Hóa học;Sinh học","Toán (Đại số / Giải tích);Toán (Hình học);Tiếng Anh;Hóa học;Sinh học","[8.0 - 9.0)","B00, D01","[24 - 27)","Xét tuyển bằng điểm thi THPTQG","Vị thế tương đối;Xác suất ""an toàn"";So sánh tổ hợp",""
"2026/03/30 12:39:36 CH GMT+7","Cựu học sinh / sinh viên (Đã tốt nghiệp THPT)","Miền Bắc (bao gồm Trung du và miền núi Bắc Bộ, và Đồng bằng sông Hồng)","Toán (Đại số / Giải tích);Ngữ văn","Tiếng Anh","[8.0 - 9.0)","D1","[24 - 27)","Xét tuyển bằng điểm thi THPTQG","Thứ hạng ước tính;Phân tích phổ điểm",""
