Dấu thời gian,doi_tuong,dia_diem,mon_gioi,mon_yeu,diem_gan_nhat,to_hop_clean,diem_du_doan,muc_dich,target_list,khao_khat_clean
2026/03/24 7:09:52 CH GMT+7,Lớp 12,Miền Nam,[],[],[8.0 - 9.0),['A00'],[24 - 27),Xét tuyển bằng điểm thi THPTQG,"['Vị thế tương đối', 'Xác suất ""an toàn""']",
2026/03/24 10:27:40 CH GMT+7,Lớp 11,Miền Nam,[],[],[8.0 - 9.0),['A01'],[24 - 27),Xét tuyển bằng điểm thi THPTQG,"['Vị thế tương đối', 'Xác suất ""an toàn""', 'So sánh tổ hợp']",em mong muốn được vỡ oà cảm xúc sau những chặng đường dài mà em đã mỏi mệt trải qua để có được số điểm mong muốnp
2026/03/24 10:28:35 CH GMT+7,Lớp 12,Miền Nam,[],[],[8.0 - 9.0),"['D01', 'A01']",[18 - 21),Xét tuyển bằng điểm thi THPTQG,"['Xác suất ""an toàn""']",Biết mình đậu hay ki
2026/03/25 5:50:08 CH GMT+7,Đã tốt nghiệp THPT,Miền Trung,[],[],[9.0 - 10.0],['A00'],[27 - 30),Lấy điểm để đi du học hoặc xét tuyển riêng.,['Phân tích phổ điểm'],Nụ cười của cha mẹ
2026/03/26 11:29:09 SA GMT+7,Đã tốt nghiệp THPT,Miền Trung,"['Hóa', 'Toán']","['Sinh', 'Văn', 'Anh']",[8.0 - 9.0),['A00'],[24 - 27),Xét tuyển bằng điểm thi THPTQG,"['Phân tích phổ điểm', 'So sánh tổ hợp']",
2026/03/26 11:40:45 SA GMT+7,Đã tốt nghiệp THPT,Miền Nam,"['Hóa', 'Lý']","['Anh', 'Toán']",[8.0 - 9.0),['A00'],[24 - 27),Xét tuyển bằng điểm thi THPTQG,"['Vị thế tương đối', 'Xác suất ""an toàn""', 'Thứ hạng ước tính', 'Phân tích phổ điểm']",
2026/03/26 12:43:13 CH GMT+7,Lớp 10,Miền Bắc,"['Sinh', 'Hóa']","['Lý', 'Công nghệ công nghiệp', 'Sử', 'Anh', 'Toán', 'Địa', 'GDKT&PL (Hoặc GDCD)', 'Tin', 'Văn', 'Công nghệ nông nghiệp']",[8.0 - 9.0),['A00'],[27 - 30),Khác,"['Thứ hạng ước tính', 'Phân tích phổ điểm']",Muốn biết có đứng top 10 toàn quốc không?
2026/03/26 1:59:22 CH GMT+7,Đã tốt nghiệp THPT,Miền Nam,[],"['Văn', 'Lý', 'Anh', 'Toán']",[6.0 - 7.0),"['A01', 'C01']",[18 - 21),Xét tuyển bằng điểm thi THPTQG,"['Xác suất ""an toàn""']",
2026/03/26 7:19:06 CH GMT+7,Đã tốt nghiệp THPT,Miền Nam,"['Tin', 'Lý', 'Toán']",['Anh'],[8.0 - 9.0),['A00'],[24 - 27),Xét tuyển bằng điểm thi THPTQG,"['Xác suất ""an toàn""']",Có
2026/03/30 12:39:36 CH GMT+7,Đã tốt nghiệp THPT,Miền Bắc,"['Văn', 'Toán']",['Anh'],[8.0 - 9.0),['INVALID'],[24 - 27),Xét tuyển bằng điểm thi THPTQG,"['Thứ hạng ước tính', 'Phân tích phổ điểm']",
2026/03/30 1:24:00 CH GMT+7,Đã tốt nghiệp THPT,Miền Nam,"['Văn', 'Toán']",['Anh'],[8.0 - 9.0),['INVALID'],[24 - 27),Xét tuyển bằng điểm thi THPTQG,"['Vị thế tương đối', 'Xác suất ""an toàn""']",
2026/03/30 2:19:26 CH GMT+7,Lớp 12,Miền Trung,"['Địa', 'Văn', 'Sử']",['Anh'],[7.0 - 8.0),['INVALID'],[21 - 24),Xét tuyển bằng điểm thi THPTQG,"['Vị thế tương đối', 'Xác suất ""an toàn""', 'Phân tích phổ điểm', 'So sánh tổ hợp']",
2026/03/30 4:18:40 CH GMT+7,Đã tốt nghiệp THPT,Miền Trung,"['Sinh', 'Văn', 'Anh', 'Toán']","['Hóa', 'Lý']",[9.0 - 10.0],['INVALID'],[24 - 27),Chỉ để xét tốt nghiệp THPT / Thi cho có,"['Xác suất ""an toàn""']",
2026/03/30 4:42:21 CH GMT+7,Đã tốt nghiệp THPT,Miền Bắc,"['Lý', 'Anh', 'Toán', 'Hóa', 'Văn']","['Công nghệ công nghiệp', 'Sinh', 'Sử', 'GDKT&PL (Hoặc GDCD)', 'Địa', 'Công nghệ nông nghiệp']",[8.0 - 9.0),"['D07', 'A01']",[24 - 27),Lấy điểm để đi du học hoặc xét tuyển riêng.,"['Vị thế tương đối', 'Xác suất ""an toàn""']",
2026/03/30 4:53:15 CH GMT+7,Lớp 12,Miền Nam,"['Văn', 'Anh', 'Toán']","['Lý', 'Tin']",[8.0 - 9.0),['D01'],[27 - 30],Xét tuyển bằng điểm thi THPTQG,"['Xác suất ""an toàn""']",
2026/03/30 7:39:49 CH GMT+7,Đã tốt nghiệp THPT,Miền Bắc,"['Anh', 'Toán']","['Sinh', 'Hóa', 'Lý']",[8.0 - 9.0),['INVALID'],[24 - 27),Xét tuyển bằng điểm thi THPTQG,"['Xác suất ""an toàn""', 'Thứ hạng ước tính', 'Phân tích phổ điểm']",
2026/03/30 8:09:04 CH GMT+7,Đã tốt nghiệp THPT,Miền Nam,[],[],[9.0 - 10.0],"['A00', 'D07']",[24 - 27),Xét tuyển bằng điểm thi THPTQG,"['Vị thế tương đối', 'Thứ hạng ước tính', 'So sánh tổ hợp']",
2026/03/30 10:01:48 CH GMT+7,Lớp 12,Miền Nam,"['Địa', 'Văn', 'Sử', 'Anh']",['Toán'],[8.0 - 9.0),['INVALID'],[21 - 24),Xét tuyển bằng điểm thi THPTQG,"['Vị thế tương đối', 'Xác suất ""an toàn""', 'Thứ hạng ước tính', 'Phân tích phổ điểm', 'So sánh tổ hợp']",
2026/03/30 10:06:35 CH GMT+7,Đã tốt nghiệp THPT,Miền Bắc,"['Văn', 'Anh']","['Hóa', 'Lý', 'Toán']",[8.0 - 9.0),['D01'],[24 - 27),Lấy điểm để đi du học hoặc xét tuyển riêng.,"['Xác suất ""an toàn""', 'Phân tích phổ điểm']",
2026/03/30 10:57:54 CH GMT+7,Đã tốt nghiệp THPT,Miền Nam,"['Hóa', 'Anh']",['Văn'],[8.0 - 9.0),['D07'],[24 - 27),Xét tuyển bằng điểm thi THPTQG,['Vị thế tương đối'],top 1 trường
2026/03/31 8:45:56 SA GMT+7,Đã tốt nghiệp THPT,Miền Trung,"['Văn', 'Toán']","['Sinh', 'Lý']",[8.0 - 9.0),['INVALID'],[27 - 30],Xét tuyển bằng điểm thi THPTQG,"['Vị thế tương đối', 'Xác suất ""an toàn""', 'Thứ hạng ước tính', 'Phân tích phổ điểm', 'So sánh tổ hợp']",
2026/03/31 9:00:23 SA GMT+7,Lớp 12,Miền Bắc,"['Hóa', 'Lý', 'Toán']","['Sinh', 'Văn', 'Anh']",[8.0 - 9.0),['A00'],[24 - 27),Xét tuyển bằng điểm thi THPTQG,"['Xác suất ""an toàn""', 'Thứ hạng ước tính', 'So sánh tổ hợp']",
2026/04/01 10:45:20 CH GMT+7,Đã tốt nghiệp THPT,Miền Trung,"['Văn', 'Toán']","['Sinh', 'Hóa', 'Anh']",[8.0 - 9.0),['INVALID'],[27 - 30],Xét tuyển bằng điểm thi THPTQG,"['Vị thế tương đối', 'Xác suất ""an toàn""']",
2026/04/02 8:08:15 SA GMT+7,Lớp 10,Miền Bắc,"['Văn', 'Anh']","['Sinh', 'Hóa', 'Lý', 'Toán']",[9.0 - 10.0],['INVALID'],[18 - 21),Lấy điểm để đi du học hoặc xét tuyển riêng.,"['Xác suất ""an toàn""', 'Thứ hạng ước tính']",muốn biết mình thuộc top bao nhiêu
2026/04/02 9:00:02 SA GMT+7,Đã tốt nghiệp THPT,Miền Nam,"['Sinh', 'Văn', 'Hóa', 'Toán']","['GDKT&PL (Hoặc GDCD)', 'Địa', 'Anh']",[7.0 - 8.0),['B00'],[21 - 24),Xét tuyển bằng điểm thi THPTQG,['Thứ hạng ước tính'],
2026/04/02 9:01:24 SA GMT+7,Lớp 10,Miền Nam,"['Văn', 'Lý', 'Anh', 'Toán']",[],[9.0 - 10.0],['A00'],[24 - 27),Xét tuyển bằng điểm thi THPTQG,"['Xác suất ""an toàn""']",
2026/04/02 9:02:39 SA GMT+7,Lớp 10,Miền Nam,"['Sinh', 'Hóa']",['Toán'],Mình đang là học sinh lớp 10 nên chưa biết,['B00'],[24 - 27),Xét tuyển bằng điểm thi THPTQG,"['Xác suất ""an toàn""', 'Phân tích phổ điểm']",muốn biết mình có thuộc top không
2026/04/02 10:08:31 SA GMT+7,Lớp 10,Miền Bắc,"['Văn', 'Anh']","['Sinh', 'Hóa', 'Lý', 'Toán']",[8.0 - 9.0),['INVALID'],[18 - 21),Lấy điểm để đi du học hoặc xét tuyển riêng.,"['Xác suất ""an toàn""', 'Thứ hạng ước tính']",muốn biết mình top mấy
2026/04/02 10:44:52 SA GMT+7,Lớp 10,Miền Nam,['Sử'],['Toán'],[7.0 - 8.0),['INVALID'],[24 - 27),Lấy điểm để đi du học hoặc xét tuyển riêng.,"['Xác suất ""an toàn""']",So sánh điểm với bạn bè
2026/04/02 10:45:31 SA GMT+7,Lớp 10,Miền Nam,"['Địa', 'Văn', 'Toán']","['Sinh', 'Hóa', 'Lý']",Mình đang là học sinh lớp 10 nên chưa biết,['INVALID'],Khác,Khác,['Vị thế tương đối'],mình muốn vào được trường mình mong muốn
2026/04/02 10:46:45 SA GMT+7,Lớp 10,Miền Bắc,"['Địa', 'Anh']","['GDKT&PL (Hoặc GDCD)', 'Lý', 'Tin']",Mình ngại lắm / Không muốn trả lời,['D01'],[21 - 24),Xét tuyển bằng điểm thi THPTQG,"['Xác suất ""an toàn""']",
2026/04/02 10:46:47 SA GMT+7,Lớp 10,Miền Nam,"['Địa', 'Văn', 'Sử', 'Toán']","['Sinh', 'Hóa', 'Lý', 'Tin']",Mình đang là học sinh lớp 10 nên chưa biết,['INVALID'],Khác,Khác,['Vị thế tương đối'],đạt được mục tiêu mình muốn
2026/04/02 10:55:42 SA GMT+7,Lớp 10,Miền Nam,['Văn'],['Toán'],[5.0 - 6.0),['INVALID'],[21 - 24),Khác,"['Xác suất ""an toàn""']",Có đủ điểm đậu không
2026/04/02 11:14:58 SA GMT+7,Lớp 12,Miền Nam,"['Hóa', 'Lý', 'Toán']",[],[8.0 - 9.0),['A00'],[21 - 24),Xét tuyển bằng điểm thi THPTQG,"['Vị thế tương đối', 'Xác suất ""an toàn""', 'Phân tích phổ điểm']",
2026/04/02 11:15:48 SA GMT+7,Lớp 10,Miền Nam,"['Hóa', 'Toán']",['Lý'],Mình đang là học sinh lớp 10 nên chưa biết,['INVALID'],[24 - 27),Xét tuyển bằng điểm thi THPTQG,"['Xác suất ""an toàn""', 'Thứ hạng ước tính', 'Phân tích phổ điểm']",muon đỗ nv1😭
2026/04/02 11:20:40 SA GMT+7,Đã tốt nghiệp THPT,Miền Nam,"['Địa', 'Văn', 'Sử', 'GDKT&PL (Hoặc GDCD)']","['Anh', 'Toán']",[7.0 - 8.0),['C00'],[21 - 24),Xét tuyển bằng điểm thi THPTQG,"['Xác suất ""an toàn""', 'So sánh tổ hợp']",
2026/04/02 11:22:16 SA GMT+7,Lớp 10,Miền Nam,['Toán'],['Anh'],[9.0 - 10.0],['INVALID'],[24 - 27),Xét tuyển bằng điểm thi THPTQG,['Vị thế tương đối'],
2026/04/02 11:28:19 SA GMT+7,Lớp 10,Miền Nam,['Văn'],['Anh'],[7.0 - 8.0),['C00'],[21 - 24),Xét tuyển bằng điểm thi THPTQG,['Thứ hạng ước tính'],
2026/04/02 11:28:40 SA GMT+7,Lớp 10,Miền Nam,['Văn'],['Lý'],Mình ngại lắm / Không muốn trả lời,['D01'],[24 - 27),Đủ điều kiện xét học bạ / ĐGNL,['Thứ hạng ước tính'],
2026/04/02 11:29:28 SA GMT+7,Lớp 10,Miền Nam,['Toán'],['Anh'],Mình đang là học sinh lớp 10 nên chưa biết,['INVALID'],[21 - 24),Xét tuyển bằng điểm thi THPTQG,['Phân tích phổ điểm'],
